Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0622823734,0.4017947100,0.5359229166
-10.5000000000,52.5000000000,0.0604024169,0.4092239846,0.5303735984
-10.5000000000,53.5000000000,0.0565710591,0.4186041519,0.5248247890
-10.5000000000,54.5000000000,0.0685900504,0.3484876318,0.5829223178
-9.5000000000,38.5000000000,0.0809103290,0.3268494777,0.5922401934
-9.5000000000,39.5000000000,0.0806062499,0.3328595327,0.5865342174
-9.5000000000,42.5000000000,0.0734256066,0.3767470637,0.5498273297
-9.5000000000,43.5000000000,0.0694308481,0.3931407413,0.5374284105
-9.5000000000,51.5000000000,0.0626912330,0.4077709339,0.5295378331
-9.5000000000,52.5000000000,0.0634143191,0.4100457676,0.5265399133
-9.5000000000,53.5000000000,0.0633136376,0.4041058775,0.5325804849
-9.5000000000,54.5000000000,0.0670796139,0.3615697905,0.5713505956
-8.5000000000,37.5000000000,0.0954690734,0.2990055885,0.6055253381
-8.5000000000,38.5000000000,0.0937389858,0.3011046805,0.6051563337
-8.5000000000,39.5000000000,0.0956089600,0.3105361623,0.5938548777
-8.5000000000,40.5000000000,0.0958812963,0.3171106656,0.5870080380
-8.5000000000,41.5000000000,0.0985920590,0.3266924786,0.5747154624
-8.5000000000,42.5000000000,0.0994907734,0.3372690271,0.5632401995
-8.5000000000,43.5000000000,0.0794848206,0.3781378507,0.5423773287
-8.5000000000,51.5000000000,0.0545413022,0.4334155006,0.5120431972
-8.5000000000,52.5000000000,0.0591247618,0.4286345013,0.5122407369
-8.5000000000,53.5000000000,0.0595668367,0.4226098856,0.5178232777
-8.5000000000,54.5000000000,0.0655804626,0.3816955955,0.5527239419
-8.5000000000,55.5000000000,0.0592108058,0.3682581149,0.5725310792
-7.5000000000,37.5000000000,0.1055110909,0.2873690894,0.6071198197
-7.5000000000,38.5000000000,0.1101171904,0.2823097087,0.6075731009
-7.5000000000,39.5000000000,0.1163343407,0.2795137957,0.6041518636
-7.5000000000,40.5000000000,0.1423533240,0.2596768224,0.5979698536
-7.5000000000,41.5000000000,0.1399502077,0.2793145112,0.5807352811
-7.5000000000,42.5000000000,0.1422173616,0.2913402651,0.5664423733
-7.5000000000,43.5000000000,0.0979821716,0.3561569987,0.5458608297
-7.5000000000,51.5000000000,0.0399680745,0.5010764383,0.4589554872
-7.5000000000,52.5000000000,0.0545673143,0.4509803976,0.4944522881
-7.5000000000,53.5000000000,0.0560402484,0.4455125624,0.4984471892
-7.5000000000,54.5000000000,0.0638165953,0.4029252899,0.5332581147
-7.5000000000,55.5000000000,0.0599763769,0.3734796497,0.5665439734
-7.5000000000,57.5000000000,0.0606078877,0.2776640413,0.6617280710
-7.5000000000,58.5000000000,0.0665340101,0.2322099822,0.7012560077
-7.5000000000,62.5000000000,0.0896385569,0.1705496885,0.7398117546
-6.5000000000,35.5000000000,0.1183017581,0.2561533661,0.6255448757
-6.5000000000,36.5000000000,0.1098622207,0.2761628522,0.6139749271
-6.5000000000,37.5000000000,0.1244205718,0.2622809861,0.6132984421
-6.5000000000,38.5000000000,0.1406983185,0.2469057589,0.6123959226
-6.5000000000,39.5000000000,0.1308241262,0.2633330969,0.6058427770
-6.5000000000,40.5000000000,0.1622420776,0.2433678156,0.5943901068
-6.5000000000,41.5000000000,0.1625128425,0.2647193713,0.5727677862
-6.5000000000,42.5000000000,0.2096251189,0.2381505323,0.5522243488
-6.5000000000,43.5000000000,0.1111077527,0.3510134508,0.5378787965
-6.5000000000,52.5000000000,0.0491404086,0.4707091099,0.4801504815
-6.5000000000,53.5000000000,0.0500456876,0.4718356736,0.4781186388
-6.5000000000,54.5000000000,0.0573563082,0.4311056104,0.5115380813
-6.5000000000,55.5000000000,0.0550588221,0.3938913564,0.5510498216
-6.5000000000,56.5000000000,0.0548840699,0.3512944297,0.5938215005
-6.5000000000,57.5000000000,0.0628226189,0.2764936279,0.6606837532
-6.5000000000,58.5000000000,0.0656969836,0.2340858445,0.7002171720
-6.5000000000,61.5000000000,0.0829693830,0.1735707227,0.7434598943
-6.5000000000,62.5000000000,0.0902341460,0.1673564578,0.7424093962
-5.5000000000,35.5000000000,0.1633485914,0.2113870808,0.6252643278
-5.5000000000,36.5000000000,0.1518579809,0.2310966053,0.6170454138
-5.5000000000,37.5000000000,0.1407988104,0.2459236001,0.6132775895
-5.5000000000,38.5000000000,0.1670799275,0.2268283656,0.6060917069
-5.5000000000,39.5000000000,0.1557141165,0.2426337924,0.6016520911
-5.5000000000,40.5000000000,0.2191790668,0.2013162006,0.5795047326
-5.5000000000,41.5000000000,0.1808671749,0.2561658789,0.5629669462
-5.5000000000,42.5000000000,0.2023127647,0.2567015207,0.5409857146
-5.5000000000,43.5000000000,0.1179531992,0.3560619154,0.5259848855
-5.5000000000,50.5000000000,0.0458122415,0.4298845192,0.5243032392
-5.5000000000,51.5000000000,0.0456840734,0.4452948262,0.5090211004
-5.5000000000,54.5000000000,0.0497827636,0.4336413565,0.5165758799
-5.5000000000,55.5000000000,0.0529899237,0.3904627548,0.5565473216
-5.5000000000,56.5000000000,0.0633123679,0.3234349855,0.6132526466
-5.5000000000,57.5000000000,0.0741584051,0.2541726536,0.6716689413
-5.5000000000,58.5000000000,0.0641622856,0.2421857040,0.6936520104
-4.5000000000,35.5000000000,0.1693637707,0.2076173726,0.6230188567
-4.5000000000,36.5000000000,0.1624917826,0.2236001553,0.6139080621
-4.5000000000,37.5000000000,0.1922008274,0.2022723878,0.6055267849
-4.5000000000,38.5000000000,0.2040146092,0.1988467192,0.5971386716
-4.5000000000,39.5000000000,0.2044126776,0.2076957379,0.5878915845
-4.5000000000,40.5000000000,0.2447160711,0.1923348711,0.5629490578
-4.5000000000,41.5000000000,0.2199204154,0.2354595563,0.5446200283
-4.5000000000,42.5000000000,0.2267995674,0.2493513860,0.5238490465
-4.5000000000,43.5000000000,0.1266069776,0.3603873571,0.5130056652
-4.5000000000,47.5000000000,0.0511191862,0.4035629069,0.5453179069
-4.5000000000,48.5000000000,0.0478494977,0.3992875917,0.5528629106
-4.5000000000,50.5000000000,0.0452001522,0.4251464832,0.5296533646
-4.5000000000,51.5000000000,0.0437413872,0.4418448625,0.5144137503
-4.5000000000,52.5000000000,0.0449134437,0.4466769584,0.5084095979
-4.5000000000,53.5000000000,0.0460502359,0.4393773584,0.5145724058
-4.5000000000,54.5000000000,0.0459833636,0.4301367639,0.5238798726
-4.5000000000,55.5000000000,0.0565532661,0.3660973212,0.5773494127
-4.5000000000,56.5000000000,0.0784008706,0.2825207089,0.6390784205
-4.5000000000,57.5000000000,0.0798783811,0.2387720472,0.6813495717
-4.5000000000,58.5000000000,0.0724337567,0.2163429480,0.7112232953
-3.5000000000,35.5000000000,0.1887750780,0.1905902222,0.6206346998
-3.5000000000,36.5000000000,0.1935140496,0.1956542922,0.6108316582
-3.5000000000,37.5000000000,0.3049014884,0.1318124288,0.5632860828
-3.5000000000,38.5000000000,0.2441477764,0.1697099498,0.5861422738
-3.5000000000,39.5000000000,0.2417650395,0.1806692784,0.5775656821
-3.5000000000,40.5000000000,0.2570200958,0.1875890888,0.5553908154
-3.5000000000,41.5000000000,0.2975655341,0.1879608535,0.5144736124
-3.5000000000,42.5000000000,0.2484067741,0.2406502298,0.5109429961
-3.5000000000,43.5000000000,0.1222144626,0.3705295028,0.5072560346
-3.5000000000,47.5000000000,0.0545209255,0.3968450392,0.5486340353
-3.5000000000,48.5000000000,0.0513577243,0.3992433645,0.5493989112
-3.5000000000,50.5000000000,0.0437698799,0.4379042474,0.5183258727
-3.5000000000,51.5000000000,0.0463599078,0.4334995016,0.5201405906
-3.5000000000,52.5000000000,0.0540763208,0.4168133852,0.5291102941
-3.5000000000,53.5000000000,0.0456687727,0.4334193786,0.5209118487
-3.5000000000,54.5000000000,0.0488219940,0.4058768070,0.5453011990
-3.5000000000,55.5000000000,0.0593583464,0.3549450797,0.5856965738
-3.5000000000,56.5000000000,0.0681998450,0.3089432040,0.6228569510
