Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-9.5000000000,38.5000000000,0.1132321497,0.2097228139,0.6770450364
-9.5000000000,39.5000000000,0.1100949045,0.2199387299,0.6699663656
-9.5000000000,42.5000000000,0.0870937075,0.2714468877,0.6414594048
-9.5000000000,43.5000000000,0.0777180683,0.2978195765,0.6244623552
-9.5000000000,51.5000000000,0.0478072354,0.3367401947,0.6154525700
-9.5000000000,52.5000000000,0.0486222374,0.3120466975,0.6393310651
-9.5000000000,53.5000000000,0.0524370002,0.2845314697,0.6630315301
-9.5000000000,54.5000000000,0.0596405492,0.2499575854,0.6904018654
-8.5000000000,37.5000000000,0.1265737065,0.1866246731,0.6868016204
-8.5000000000,38.5000000000,0.1283284243,0.1881305212,0.6835410545
-8.5000000000,39.5000000000,0.1196176166,0.2066018951,0.6737804883
-8.5000000000,40.5000000000,0.1145691432,0.2145426932,0.6708881636
-8.5000000000,41.5000000000,0.1076821257,0.2303385603,0.6619793140
-8.5000000000,42.5000000000,0.1008316010,0.2472075113,0.6519608877
-8.5000000000,43.5000000000,0.0848053170,0.2814185921,0.6337760908
-8.5000000000,51.5000000000,0.0460387360,0.3316768050,0.6222844589
-8.5000000000,52.5000000000,0.0490309712,0.3031327809,0.6478362478
-8.5000000000,53.5000000000,0.0536893298,0.2840699861,0.6622406841
-8.5000000000,54.5000000000,0.0626384054,0.2496941710,0.6876674235
-8.5000000000,55.5000000000,0.0608121189,0.2342351966,0.7049526845
-7.5000000000,37.5000000000,0.1321391869,0.1764281557,0.6914326574
-7.5000000000,38.5000000000,0.1359965628,0.1787377167,0.6852657205
-7.5000000000,39.5000000000,0.1373800258,0.1836145970,0.6790053772
-7.5000000000,40.5000000000,0.1369808653,0.1855911019,0.6774280328
-7.5000000000,41.5000000000,0.1274194796,0.2058263981,0.6667541224
-7.5000000000,42.5000000000,0.1198171995,0.2213439760,0.6588388245
-7.5000000000,43.5000000000,0.0947306148,0.2669193622,0.6383500230
-7.5000000000,51.5000000000,0.0404473395,0.3441573563,0.6153953041
-7.5000000000,52.5000000000,0.0506839189,0.2952935070,0.6540225741
-7.5000000000,53.5000000000,0.0563457881,0.2829368954,0.6607173165
-7.5000000000,54.5000000000,0.0662230744,0.2550295553,0.6787473703
-7.5000000000,55.5000000000,0.0643845886,0.2370149753,0.6986004361
-7.5000000000,57.5000000000,0.0567137086,0.1769588516,0.7663274398
-7.5000000000,58.5000000000,0.0564290776,0.1490576633,0.7945132591
-7.5000000000,62.5000000000,0.0645254474,0.1173178796,0.8181566730
-6.5000000000,35.5000000000,0.1394464977,0.1527912151,0.7077622872
-6.5000000000,36.5000000000,0.1427551611,0.1530816867,0.7041631522
-6.5000000000,37.5000000000,0.1498809099,0.1523780579,0.6977410322
-6.5000000000,38.5000000000,0.1597007143,0.1518774483,0.6884218374
-6.5000000000,39.5000000000,0.1550678743,0.1680216813,0.6769104444
-6.5000000000,40.5000000000,0.1580358127,0.1725190867,0.6694451007
-6.5000000000,41.5000000000,0.1422423994,0.1965749520,0.6611826486
