Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0802902696,0.6528083108,0.2669014196
-10.5000000000,52.5000000000,0.0842668286,0.6462690071,0.2694641643
-10.5000000000,53.5000000000,0.0917788130,0.6186673621,0.2895538249
-10.5000000000,54.5000000000,0.1012754315,0.5665950488,0.3321295197
-9.5000000000,38.5000000000,0.1702472482,0.3980006851,0.4317520668
-9.5000000000,39.5000000000,0.1547221933,0.4307714260,0.4145063806
-9.5000000000,42.5000000000,0.1172544112,0.5086849163,0.3740606726
-9.5000000000,43.5000000000,0.1073967181,0.5296075620,0.3629957199
-9.5000000000,51.5000000000,0.0834276538,0.6380351118,0.2785372345
-9.5000000000,52.5000000000,0.0890775505,0.6283758245,0.2825466250
-9.5000000000,53.5000000000,0.0927645791,0.6125826724,0.2946527484
-9.5000000000,54.5000000000,0.1011680283,0.5620126683,0.3368193035
-8.5000000000,37.5000000000,0.1979625061,0.3429968331,0.4590406608
-8.5000000000,38.5000000000,0.1835345004,0.3741125890,0.4423529106
-8.5000000000,39.5000000000,0.1671368128,0.4015031144,0.4313600728
-8.5000000000,40.5000000000,0.1514085650,0.4322986174,0.4162928175
-8.5000000000,41.5000000000,0.1392822235,0.4533018280,0.4074159485
-8.5000000000,42.5000000000,0.1295304063,0.4659906598,0.4044789339
-8.5000000000,43.5000000000,0.1127640059,0.5112559861,0.3759800080
-8.5000000000,51.5000000000,0.0796626481,0.6437446845,0.2765926674
-8.5000000000,52.5000000000,0.0850394115,0.6344766696,0.2804839189
-8.5000000000,53.5000000000,0.0886409516,0.6194837459,0.2918753024
-8.5000000000,54.5000000000,0.0937132549,0.5805163235,0.3257704216
-8.5000000000,55.5000000000,0.0934904413,0.5528057568,0.3537038019
-7.5000000000,37.5000000000,0.2140225992,0.3172114785,0.4687659223
-7.5000000000,38.5000000000,0.2023476771,0.3392771084,0.4583752145
-7.5000000000,39.5000000000,0.1860671057,0.3669071393,0.4470257550
-7.5000000000,40.5000000000,0.1766345991,0.3694386414,0.4539267595
-7.5000000000,41.5000000000,0.1610029578,0.3967699101,0.4422271321
-7.5000000000,42.5000000000,0.1483286860,0.4113920338,0.4402792802
-7.5000000000,43.5000000000,0.1218140963,0.4814667656,0.3967191381
-7.5000000000,51.5000000000,0.0753645493,0.6413969226,0.2832385282
-7.5000000000,52.5000000000,0.0788018077,0.6453908266,0.2758073657
-7.5000000000,53.5000000000,0.0826868938,0.6328059820,0.2845071242
-7.5000000000,54.5000000000,0.0845280352,0.6017713575,0.3137006074
-7.5000000000,55.5000000000,0.0832093445,0.5798272416,0.3369634139
-7.5000000000,57.5000000000,0.0889748806,0.5009105739,0.4101145455
-7.5000000000,58.5000000000,0.0940508561,0.4775818673,0.4283672765
-7.5000000000,62.5000000000,0.1198978213,0.4755564460,0.4045457326
-6.5000000000,35.5000000000,0.2440675776,0.2684374228,0.4874949996
-6.5000000000,36.5000000000,0.2376758005,0.2813820107,0.4809421888
-6.5000000000,37.5000000000,0.2358559973,0.2837727447,0.4803712580
-6.5000000000,38.5000000000,0.2315936505,0.2918466909,0.4765596586
-6.5000000000,39.5000000000,0.2113554552,0.3332435142,0.4554010306
-6.5000000000,40.5000000000,0.2029709491,0.3385538464,0.4584752045
-6.5000000000,41.5000000000,0.1849824661,0.3625488606,0.4524686733
-6.5000000000,42.5000000000,0.1750653439,0.3501701306,0.4747645255
-6.5000000000,43.5000000000,0.1293166131,0.4648751683,0.4058082186
-6.5000000000,52.5000000000,0.0756115948,0.6325723014,0.2918161038
-6.5000000000,53.5000000000,0.0727314126,0.6443841710,0.2828844165
-6.5000000000,54.5000000000,0.0729631144,0.6259099796,0.3011269060
-6.5000000000,55.5000000000,0.0730324295,0.6087751092,0.3181924613
-6.5000000000,56.5000000000,0.0765296212,0.5730589361,0.3504114426
-6.5000000000,57.5000000000,0.0830427601,0.5249041039,0.3920531360
-6.5000000000,58.5000000000,0.0896006267,0.4925776697,0.4178217037
-6.5000000000,61.5000000000,0.1129702826,0.4763682563,0.4106614611
-6.5000000000,62.5000000000,0.1205410737,0.4771921308,0.4022667955
-5.5000000000,35.5000000000,0.2753927049,0.2107908228,0.5138164722
-5.5000000000,36.5000000000,0.2696089989,0.2231106749,0.5072803262
-5.5000000000,37.5000000000,0.2619772004,0.2458414912,0.4921813084
-5.5000000000,38.5000000000,0.2619122290,0.2473596082,0.4907281627
-5.5000000000,39.5000000000,0.2463183559,0.2854022431,0.4682794010
-5.5000000000,40.5000000000,0.2429248399,0.2745227783,0.4825523818
-5.5000000000,41.5000000000,0.2094556580,0.3352153293,0.4553290127
-5.5000000000,42.5000000000,0.1859407560,0.3527543892,0.4613048549
-5.5000000000,43.5000000000,0.1359893162,0.4583103353,0.4057003486
-5.5000000000,50.5000000000,0.0744471133,0.5445602451,0.3809926416
-5.5000000000,51.5000000000,0.0779924563,0.5553660462,0.3666414975
-5.5000000000,54.5000000000,0.0633760431,0.6430708581,0.2935530988
-5.5000000000,55.5000000000,0.0655978352,0.6273545840,0.3070475807
-5.5000000000,56.5000000000,0.0720549015,0.5937579431,0.3341871554
-5.5000000000,57.5000000000,0.0795871439,0.5468927067,0.3735201494
-5.5000000000,58.5000000000,0.0854969433,0.5249888569,0.3895141998
-4.5000000000,35.5000000000,0.2894535657,0.1920627334,0.5184837009
-4.5000000000,36.5000000000,0.2889667179,0.1963501885,0.5146830935
-4.5000000000,37.5000000000,0.2950065962,0.1901555959,0.5148378079
-4.5000000000,38.5000000000,0.2953601243,0.1998051615,0.5048347142
-4.5000000000,39.5000000000,0.2870492182,0.2266787967,0.4862719851
-4.5000000000,40.5000000000,0.2747276943,0.2445372959,0.4807350097
-4.5000000000,41.5000000000,0.2401796746,0.3018140336,0.4580062918
-4.5000000000,42.5000000000,0.2051307684,0.3376392227,0.4572300088
-4.5000000000,43.5000000000,0.1413749270,0.4562076050,0.4024174680
-4.5000000000,47.5000000000,0.0552332689,0.5928231954,0.3519435357
-4.5000000000,48.5000000000,0.0528635469,0.5806235058,0.3665129473
-4.5000000000,50.5000000000,0.0774892811,0.4897643722,0.4327463467
-4.5000000000,51.5000000000,0.0827812502,0.4901523359,0.4270664139
-4.5000000000,52.5000000000,0.0793504390,0.5398806368,0.3807689242
-4.5000000000,53.5000000000,0.0715993865,0.5905397687,0.3378608448
-4.5000000000,54.5000000000,0.0654319980,0.6192000827,0.3153679193
-4.5000000000,55.5000000000,0.0673121290,0.6095564867,0.3231313843
-4.5000000000,56.5000000000,0.0747280009,0.5880604970,0.3372115021
-4.5000000000,57.5000000000,0.0788631806,0.5681201978,0.3530166216
-4.5000000000,58.5000000000,0.0842168192,0.5500823236,0.3657008572
-3.5000000000,35.5000000000,0.3044379918,0.1659382992,0.5296237090
-3.5000000000,36.5000000000,0.3098028669,0.1624671493,0.5277299839
-3.5000000000,37.5000000000,0.3320579625,0.1277182358,0.5402238017
-3.5000000000,38.5000000000,0.3268646619,0.1602413197,0.5128940184
-3.5000000000,39.5000000000,0.3175888417,0.1893089134,0.4931022449
-3.5000000000,40.5000000000,0.3008554497,0.2258198499,0.4733247004
-3.5000000000,41.5000000000,0.2753346006,0.2574228655,0.4672425339
-3.5000000000,42.5000000000,0.2182278195,0.3324179859,0.4493541946
-3.5000000000,43.5000000000,0.1376480675,0.4746248118,0.3877271208
-3.5000000000,47.5000000000,0.0541655099,0.5880897534,0.3577447367
-3.5000000000,48.5000000000,0.0561461374,0.5540381130,0.3898157496
-3.5000000000,50.5000000000,0.0797148588,0.4685459639,0.4517391773
-3.5000000000,51.5000000000,0.0853609370,0.4724161831,0.4422228799
-3.5000000000,52.5000000000,0.0869370571,0.4960357421,0.4170272008
-3.5000000000,53.5000000000,0.0759383599,0.5637861272,0.3602755129
-3.5000000000,54.5000000000,0.0702571875,0.5952403491,0.3345024634
-3.5000000000,55.5000000000,0.0705966093,0.5887357266,0.3406676641
-3.5000000000,56.5000000000,0.0716691689,0.5946958348,0.3336349964
-3.5000000000,57.5000000000,0.0756184709,0.5830894943,0.3412920348
-3.5000000000,58.5000000000,0.0822074164,0.5646641312,0.3531284524
-3.5000000000,59.5000000000,0.0932350630,0.5320529135,0.3747120235
-2.5000000000,35.5000000000,0.3143504655,0.1485948490,0.5370546855
-2.5000000000,36.5000000000,0.3200868275,0.1458663701,0.5340468024
-2.5000000000,37.5000000000,0.3503800487,0.1030012841,0.5466186672
-2.5000000000,38.5000000000,0.3587167299,0.1147017189,0.5265815512
-2.5000000000,39.5000000000,0.3443558696,0.1529631615,0.5026809689
-2.5000000000,40.5000000000,0.3282894912,0.1859946644,0.4857158444
-2.5000000000,41.5000000000,0.2897677298,0.2430831238,0.4671491465
-2.5000000000,42.5000000000,0.2124732669,0.3512155564,0.4363111767
-2.5000000000,43.5000000000,0.1279388949,0.5020096873,0.3700514178
-2.5000000000,46.5000000000,0.0557362980,0.6116537309,0.3326099711
-2.5000000000,47.5000000000,0.0522884400,0.5967329641,0.3509785960
-2.5000000000,48.5000000000,0.0556035338,0.5688015467,0.3755949195
-2.5000000000,49.5000000000,0.0641491914,0.5392043625,0.3966464461
-2.5000000000,50.5000000000,0.0759079419,0.5073851606,0.4167068975
-2.5000000000,51.5000000000,0.0820521044,0.5057876440,0.4121602516
-2.5000000000,52.5000000000,0.0824466451,0.5302000626,0.3873532923
-2.5000000000,53.5000000000,0.0781737117,0.5622365589,0.3595897294
-2.5000000000,54.5000000000,0.0772728728,0.5697847799,0.3529423473
-2.5000000000,55.5000000000,0.0713302131,0.5973373681,0.3313324189
-2.5000000000,56.5000000000,0.0673544400,0.6226363810,0.3100091790
-2.5000000000,57.5000000000,0.0744439744,0.5943973199,0.3311587057
-2.5000000000,58.5000000000,0.0830130267,0.5638524707,0.3531345026
-1.5000000000,35.5000000000,0.3259447922,0.1319008482,0.5421543597
-1.5000000000,36.5000000000,0.3238359876,0.1390624395,0.5371015729
-1.5000000000,37.5000000000,0.3327319359,0.1298780281,0.5373900360
-1.5000000000,38.5000000000,0.3500186975,0.1215005734,0.5284807290
-1.5000000000,39.5000000000,0.3515689187,0.1331873795,0.5152437018
-1.5000000000,40.5000000000,0.3410494212,0.1491872429,0.5097633359
-1.5000000000,41.5000000000,0.2735830179,0.2566865427,0.4697304394
-1.5000000000,42.5000000000,0.1918721704,0.3745379795,0.4335898501
-1.5000000000,43.5000000000,0.1198913039,0.5067169348,0.3733917613
-1.5000000000,44.5000000000,0.0818209168,0.5896795106,0.3284995726
-1.5000000000,45.5000000000,0.0626600196,0.6248693406,0.3124706398
-1.5000000000,46.5000000000,0.0529307994,0.6329262341,0.3141429666
-1.5000000000,47.5000000000,0.0490602678,0.6233108860,0.3276288462
