Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0536294104,0.3107497134,0.6356208761
-10.5000000000,52.5000000000,0.0453222194,0.2581168627,0.6965609178
-10.5000000000,53.5000000000,0.0430762683,0.2633724456,0.6935512861
-10.5000000000,54.5000000000,0.0494591277,0.2353301716,0.7152107007
-9.5000000000,38.5000000000,0.1141369901,0.2377982012,0.6480648087
-9.5000000000,39.5000000000,0.1105747475,0.2462078943,0.6432173582
-9.5000000000,42.5000000000,0.0945112259,0.3011546273,0.6043341468
-9.5000000000,43.5000000000,0.0865935583,0.3222410246,0.5911654171
-9.5000000000,51.5000000000,0.0577647272,0.3417456382,0.6004896346
-9.5000000000,52.5000000000,0.0524545114,0.3000413092,0.6475041794
-9.5000000000,53.5000000000,0.0508159421,0.2841720545,0.6650120035
-9.5000000000,54.5000000000,0.0533402911,0.2567902937,0.6898694152
-8.5000000000,37.5000000000,0.1313233535,0.2079781149,0.6606985316
-8.5000000000,38.5000000000,0.1302737618,0.2140237687,0.6557024695
-8.5000000000,39.5000000000,0.1226400663,0.2256927883,0.6516671453
-8.5000000000,40.5000000000,0.1200023620,0.2347322543,0.6452653838
-8.5000000000,41.5000000000,0.1168824391,0.2494457881,0.6336717729
-8.5000000000,42.5000000000,0.1116772144,0.2665691897,0.6217535959
-8.5000000000,43.5000000000,0.0952052794,0.3063179388,0.5984767818
-8.5000000000,51.5000000000,0.0525327508,0.3474651775,0.6000020717
-8.5000000000,52.5000000000,0.0521807883,0.3156008807,0.6322183310
-8.5000000000,53.5000000000,0.0545936668,0.3149056332,0.6305007000
-8.5000000000,54.5000000000,0.0609473564,0.2880854773,0.6509671663
-8.5000000000,55.5000000000,0.0569856726,0.2676373560,0.6753769715
-7.5000000000,37.5000000000,0.1423381244,0.1969021651,0.6607597105
-7.5000000000,38.5000000000,0.1449828935,0.1973441332,0.6576729733
-7.5000000000,39.5000000000,0.1448459388,0.1999114744,0.6552425868
-7.5000000000,40.5000000000,0.1515954873,0.1923632321,0.6560412806
-7.5000000000,41.5000000000,0.1438211294,0.2137758290,0.6424030416
-7.5000000000,42.5000000000,0.1378194546,0.2296997388,0.6324808066
-7.5000000000,43.5000000000,0.1067760156,0.2872187176,0.6060052668
-7.5000000000,51.5000000000,0.0440539305,0.3670256401,0.5889204294
-7.5000000000,52.5000000000,0.0535454679,0.3303034567,0.6161510754
-7.5000000000,53.5000000000,0.0590021493,0.3430434397,0.5979544110
-7.5000000000,54.5000000000,0.0697566208,0.3221767896,0.6080665896
-7.5000000000,55.5000000000,0.0651683311,0.2905515176,0.6442801513
-7.5000000000,57.5000000000,0.0502859044,0.1817235917,0.7679905038
-7.5000000000,58.5000000000,0.0488635701,0.1475822996,0.8035541304
-7.5000000000,62.5000000000,0.0628536312,0.1244920607,0.8126543081
-6.5000000000,35.5000000000,0.1612057605,0.1702552630,0.6685389765
-6.5000000000,36.5000000000,0.1575123476,0.1774389411,0.6650487114
-6.5000000000,37.5000000000,0.1660192901,0.1724612888,0.6615194211
-6.5000000000,38.5000000000,0.1772055643,0.1672504803,0.6555439554
-6.5000000000,39.5000000000,0.1672808153,0.1864276765,0.6462915083
-6.5000000000,40.5000000000,0.1750108090,0.1832971206,0.6416920704
-6.5000000000,41.5000000000,0.1631895533,0.2050197306,0.6317907162
-6.5000000000,42.5000000000,0.1758904847,0.1908939498,0.6332155655
-6.5000000000,43.5000000000,0.1156505655,0.2835720288,0.6007774057
-6.5000000000,52.5000000000,0.0520001637,0.3309364011,0.6170634352
-6.5000000000,53.5000000000,0.0592329368,0.3556809890,0.5850860742
-6.5000000000,54.5000000000,0.0730055458,0.3525563755,0.5744380787
-6.5000000000,55.5000000000,0.0686509457,0.3155309220,0.6158181323
-6.5000000000,56.5000000000,0.0587999958,0.2509040343,0.6902959699
-6.5000000000,57.5000000000,0.0534411060,0.1821523942,0.7644064997
-6.5000000000,58.5000000000,0.0484981483,0.1460367848,0.8054650669
-6.5000000000,61.5000000000,0.0569776780,0.1187070283,0.8243152937
-6.5000000000,62.5000000000,0.0622945952,0.1197267605,0.8179786443
-5.5000000000,35.5000000000,0.1933286779,0.1367913804,0.6698799417
-5.5000000000,36.5000000000,0.1905507155,0.1426763190,0.6667729655
-5.5000000000,37.5000000000,0.1824634095,0.1565271095,0.6610094810
-5.5000000000,38.5000000000,0.1989334452,0.1518856121,0.6491809427
-5.5000000000,39.5000000000,0.1939161235,0.1681888741,0.6378950024
-5.5000000000,40.5000000000,0.2174752564,0.1481643476,0.6343603959
-5.5000000000,41.5000000000,0.1830816435,0.1979258330,0.6189925236
-5.5000000000,42.5000000000,0.1817981309,0.2071318347,0.6110700344
-5.5000000000,43.5000000000,0.1245443119,0.2928510947,0.5826045934
-5.5000000000,50.5000000000,0.0434457645,0.2779027920,0.6786514434
-5.5000000000,51.5000000000,0.0450373818,0.2887903627,0.6661722555
-5.5000000000,54.5000000000,0.0653431606,0.3404477077,0.5942091317
-5.5000000000,55.5000000000,0.0650485421,0.3043747601,0.6305766978
-5.5000000000,56.5000000000,0.0629710291,0.2312163096,0.7058126613
-5.5000000000,57.5000000000,0.0599131069,0.1695421401,0.7705447530
-5.5000000000,58.5000000000,0.0487787740,0.1506977587,0.8005234673
-4.5000000000,35.5000000000,0.1988405436,0.1283629801,0.6727964763
-4.5000000000,36.5000000000,0.1989263259,0.1317602560,0.6693134181
-4.5000000000,37.5000000000,0.2179396171,0.1222551717,0.6598052112
-4.5000000000,38.5000000000,0.2343128923,0.1287267269,0.6369603808
-4.5000000000,39.5000000000,0.2406639960,0.1426820686,0.6166539354
-4.5000000000,40.5000000000,0.2613842466,0.1376306783,0.6009850751
-4.5000000000,41.5000000000,0.2246115220,0.1795901981,0.5957982800
-4.5000000000,42.5000000000,0.2060564362,0.2032610270,0.5906825368
-4.5000000000,43.5000000000,0.1344771023,0.2977769830,0.5677459147
-4.5000000000,47.5000000000,0.0438112877,0.2860824136,0.6701062988
-4.5000000000,48.5000000000,0.0421314421,0.2632320561,0.6946365019
-4.5000000000,50.5000000000,0.0400367077,0.2452270287,0.7147362636
-4.5000000000,51.5000000000,0.0409039219,0.2566934551,0.7024026230
-4.5000000000,52.5000000000,0.0457473233,0.2712141933,0.6830384834
-4.5000000000,53.5000000000,0.0501715800,0.2937559012,0.6560725188
-4.5000000000,54.5000000000,0.0553870358,0.3009611027,0.6436518615
-4.5000000000,55.5000000000,0.0608205230,0.2648748392,0.6743046378
-4.5000000000,56.5000000000,0.0677821416,0.1948096607,0.7374081977
-4.5000000000,57.5000000000,0.0609941942,0.1539017969,0.7851040089
-4.5000000000,58.5000000000,0.0522789599,0.1327947099,0.8149263302
-3.5000000000,35.5000000000,0.2101958482,0.1086102369,0.6811939149
-3.5000000000,36.5000000000,0.2126294515,0.1094226389,0.6779479096
-3.5000000000,37.5000000000,0.2690875551,0.0782128491,0.6526995958
-3.5000000000,38.5000000000,0.2544969616,0.1062919801,0.6392110583
-3.5000000000,39.5000000000,0.2690028594,0.1218935301,0.6091036105
-3.5000000000,40.5000000000,0.2795953215,0.1354463299,0.5849583486
-3.5000000000,41.5000000000,0.2779914107,0.1464394436,0.5755691457
-3.5000000000,42.5000000000,0.2202436403,0.1951668109,0.5845895489
-3.5000000000,43.5000000000,0.1256867496,0.2965502308,0.5777630196
-3.5000000000,47.5000000000,0.0443544365,0.2586011706,0.6970443928
-3.5000000000,48.5000000000,0.0397015839,0.2440737947,0.7162246214
-3.5000000000,50.5000000000,0.0366717521,0.2303427141,0.7329855338
-3.5000000000,51.5000000000,0.0390219907,0.2204793560,0.7404986532
-3.5000000000,52.5000000000,0.0462482997,0.2147540238,0.7389976765
-3.5000000000,53.5000000000,0.0454703622,0.2466141598,0.7079154780
-3.5000000000,54.5000000000,0.0500055535,0.2467384199,0.7032560266
-3.5000000000,55.5000000000,0.0582937057,0.2236090398,0.7180972545
-3.5000000000,56.5000000000,0.0610120847,0.1857712529,0.7532166625
-3.5000000000,57.5000000000,0.0584931469,0.1469248218,0.7945820313
-3.5000000000,58.5000000000,0.0510840353,0.1254448946,0.8234710701
