Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0940844794,0.5839545437,0.3219609769
-10.5000000000,52.5000000000,0.0968450421,0.5907908303,0.3123641276
-10.5000000000,53.5000000000,0.0918307474,0.5986429678,0.3095262848
-10.5000000000,54.5000000000,0.0922084297,0.5168860980,0.3909054723
-9.5000000000,38.5000000000,0.1015357202,0.3219634271,0.5765008528
-9.5000000000,39.5000000000,0.0919248430,0.3371038505,0.5709713065
-9.5000000000,42.5000000000,0.0718922565,0.4156029535,0.5125047900
-9.5000000000,43.5000000000,0.0680927048,0.4452255496,0.4866817456
-9.5000000000,51.5000000000,0.0944611989,0.5862645892,0.3192742119
-9.5000000000,52.5000000000,0.0982053331,0.5890830600,0.3127116069
-9.5000000000,53.5000000000,0.0948407270,0.5851521420,0.3200071311
-9.5000000000,54.5000000000,0.0901494248,0.5276462417,0.3822043335
-8.5000000000,37.5000000000,0.1279853978,0.2868589844,0.5851556178
-8.5000000000,38.5000000000,0.1139986968,0.2971057543,0.5888955489
-8.5000000000,39.5000000000,0.1067159497,0.3139084223,0.5793756280
-8.5000000000,40.5000000000,0.0968154950,0.3304490162,0.5727354887
-8.5000000000,41.5000000000,0.0934527405,0.3518975417,0.5546497178
-8.5000000000,42.5000000000,0.0919519930,0.3739428686,0.5341051385
-8.5000000000,43.5000000000,0.0749449179,0.4281074803,0.4969476018
-8.5000000000,51.5000000000,0.0821404826,0.6067607834,0.3110987340
-8.5000000000,52.5000000000,0.0913796419,0.6076896161,0.3009307420
-8.5000000000,53.5000000000,0.0875898565,0.5991458862,0.3132642573
-8.5000000000,54.5000000000,0.0879790003,0.5490150926,0.3630059072
-8.5000000000,55.5000000000,0.0787027119,0.5234166226,0.3978806655
-7.5000000000,37.5000000000,0.1473360421,0.2699443495,0.5827196084
-7.5000000000,38.5000000000,0.1392982974,0.2746632802,0.5860384224
-7.5000000000,39.5000000000,0.1289623098,0.2814420687,0.5895956215
-7.5000000000,40.5000000000,0.1394446194,0.2743059237,0.5862494569
-7.5000000000,41.5000000000,0.1292799914,0.3050021508,0.5657178578
-7.5000000000,42.5000000000,0.1257119624,0.3307299439,0.5435580937
-7.5000000000,43.5000000000,0.0883502964,0.4051667016,0.5064830020
-7.5000000000,51.5000000000,0.0660214790,0.6540590689,0.2799194521
-7.5000000000,52.5000000000,0.0808919742,0.6147651371,0.3043428887
-7.5000000000,53.5000000000,0.0804506650,0.6082683512,0.3112809838
-7.5000000000,54.5000000000,0.0848729208,0.5647899509,0.3503371284
