Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0886985189,0.7135018168,0.1977996644
-10.5000000000,52.5000000000,0.0862046873,0.7156756226,0.1981196901
-10.5000000000,53.5000000000,0.0930929849,0.6737117344,0.2331952807
-10.5000000000,54.5000000000,0.1052418204,0.5914018918,0.3033562879
-9.5000000000,38.5000000000,0.1623721104,0.3747458547,0.4628820349
-9.5000000000,39.5000000000,0.1487327366,0.3979228567,0.4533444067
-9.5000000000,42.5000000000,0.1178123461,0.4777230781,0.4044645758
-9.5000000000,43.5000000000,0.1117463837,0.5015431877,0.3867104286
-9.5000000000,51.5000000000,0.0965917257,0.6970524288,0.2063558455
-9.5000000000,52.5000000000,0.0997169872,0.6948167779,0.2054662349
-9.5000000000,53.5000000000,0.1025618228,0.6629414439,0.2344967333
-9.5000000000,54.5000000000,0.1089957046,0.5837714635,0.3072328318
-8.5000000000,37.5000000000,0.1923654889,0.3236221963,0.4840123148
-8.5000000000,38.5000000000,0.1754851319,0.3498260210,0.4746888471
-8.5000000000,39.5000000000,0.1619970449,0.3730031533,0.4649998018
-8.5000000000,40.5000000000,0.1454428605,0.4020163860,0.4525407535
-8.5000000000,41.5000000000,0.1392236536,0.4240456772,0.4367306692
-8.5000000000,42.5000000000,0.1344513855,0.4414550596,0.4240935549
-8.5000000000,43.5000000000,0.1175147153,0.4870358592,0.3954494255
-8.5000000000,51.5000000000,0.0963105115,0.6902418773,0.2134476113
-8.5000000000,52.5000000000,0.1033176422,0.6900886341,0.2065937237
-8.5000000000,53.5000000000,0.1036538764,0.6630431783,0.2333029453
-8.5000000000,54.5000000000,0.1060149146,0.5984735514,0.2955115341
-8.5000000000,55.5000000000,0.0974695687,0.5524410663,0.3500893650
-7.5000000000,37.5000000000,0.2100887170,0.2974414999,0.4924697831
-7.5000000000,38.5000000000,0.1980649297,0.3168752025,0.4850598678
-7.5000000000,39.5000000000,0.1828324663,0.3415019090,0.4756656247
-7.5000000000,40.5000000000,0.1781374923,0.3471548691,0.4747076386
-7.5000000000,41.5000000000,0.1664368944,0.3759326465,0.4576304591
-7.5000000000,42.5000000000,0.1595799856,0.3928622318,0.4475577825
-7.5000000000,43.5000000000,0.1289268063,0.4581933722,0.4128798216
-7.5000000000,51.5000000000,0.0866474873,0.6818479009,0.2315046118
-7.5000000000,52.5000000000,0.0951126363,0.6851089833,0.2197783804
-7.5000000000,53.5000000000,0.0955845550,0.6646114235,0.2398040215
-7.5000000000,54.5000000000,0.0950336378,0.6158574574,0.2891089048
-7.5000000000,55.5000000000,0.0875082080,0.5739437784,0.3385480136
-7.5000000000,57.5000000000,0.0783107738,0.4560552464,0.4656339798
-7.5000000000,58.5000000000,0.0818970431,0.4025234525,0.5155795044
-7.5000000000,62.5000000000,0.1121995801,0.3749111403,0.5128892796
-6.5000000000,35.5000000000,0.2440530207,0.2440746995,0.5118722798
