Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.1254028391,0.5362463538,0.3383508071
-10.5000000000,52.5000000000,0.1221209254,0.5616396540,0.3162394206
-10.5000000000,53.5000000000,0.1099736595,0.5888260987,0.3012002417
-10.5000000000,54.5000000000,0.1239711132,0.5261311910,0.3498976957
-9.5000000000,38.5000000000,0.1266568641,0.3357054386,0.5376376974
-9.5000000000,39.5000000000,0.1191637245,0.3500180424,0.5308182331
-9.5000000000,42.5000000000,0.0968660657,0.4103041756,0.4928297586
-9.5000000000,43.5000000000,0.0911358581,0.4314797720,0.4773843699
-9.5000000000,51.5000000000,0.1256446437,0.5351369386,0.3392184177
-9.5000000000,52.5000000000,0.1284167602,0.5495560643,0.3220271756
-9.5000000000,53.5000000000,0.1204891909,0.5657652189,0.3137455902
-9.5000000000,54.5000000000,0.1196978743,0.5324265160,0.3478756097
-8.5000000000,37.5000000000,0.1536387561,0.2942186961,0.5521425477
-8.5000000000,38.5000000000,0.1441392058,0.3058019941,0.5500588002
-8.5000000000,39.5000000000,0.1368408527,0.3226901398,0.5404690075
-8.5000000000,40.5000000000,0.1290971049,0.3389458471,0.5319570480
-8.5000000000,41.5000000000,0.1250593452,0.3527018402,0.5222388145
-8.5000000000,42.5000000000,0.1226021119,0.3664985351,0.5108993530
-8.5000000000,43.5000000000,0.0996728388,0.4115860776,0.4887410836
-8.5000000000,51.5000000000,0.1076212707,0.5565998470,0.3357788824
-8.5000000000,52.5000000000,0.1165725601,0.5655280219,0.3178994180
-8.5000000000,53.5000000000,0.1110943942,0.5729093263,0.3159962794
-8.5000000000,54.5000000000,0.1133499483,0.5433002552,0.3433497965
-8.5000000000,55.5000000000,0.0965791557,0.5442174862,0.3592033581
-7.5000000000,37.5000000000,0.1702190089,0.2739369999,0.5558439912
-7.5000000000,38.5000000000,0.1681632321,0.2794861300,0.5523506378
-7.5000000000,39.5000000000,0.1638077824,0.2873814455,0.5488107721
-7.5000000000,40.5000000000,0.1802555014,0.2773062147,0.5424382838
-7.5000000000,41.5000000000,0.1659803781,0.3002745636,0.5337450583
-7.5000000000,42.5000000000,0.1620219577,0.3135688292,0.5244092131
-7.5000000000,43.5000000000,0.1150113341,0.3822566473,0.5027320186
-7.5000000000,51.5000000000,0.0780315203,0.6090035277,0.3129649520
-7.5000000000,52.5000000000,0.1033831652,0.5679096026,0.3287072323
-7.5000000000,53.5000000000,0.1009791769,0.5750417779,0.3239790452
-7.5000000000,54.5000000000,0.1048052527,0.5495384058,0.3456563415
-7.5000000000,55.5000000000,0.0923441664,0.5420970861,0.3655587475
-7.5000000000,57.5000000000,0.0858066699,0.4699143772,0.4442789529
-7.5000000000,58.5000000000,0.0934362146,0.4130464885,0.4935172969
-7.5000000000,62.5000000000,0.1167492845,0.3293582983,0.5538924171
-6.5000000000,35.5000000000,0.1984374024,0.2263703513,0.5751922463
-6.5000000000,36.5000000000,0.1863926164,0.2472214974,0.5663858862
-6.5000000000,37.5000000000,0.1983867725,0.2399207856,0.5616924419
-6.5000000000,38.5000000000,0.2086533818,0.2359103457,0.5554362724
-6.5000000000,39.5000000000,0.1835754038,0.2640590706,0.5523655255
-6.5000000000,40.5000000000,0.2031124070,0.2530793772,0.5438082159
-6.5000000000,41.5000000000,0.1870130802,0.2794571938,0.5335297260
-6.5000000000,42.5000000000,0.2179425346,0.2576629292,0.5243945362
-6.5000000000,43.5000000000,0.1216959561,0.3699160640,0.5083879799
-6.5000000000,52.5000000000,0.0878778073,0.5670116689,0.3451105238
-6.5000000000,53.5000000000,0.0847294303,0.5897589769,0.3255115928
-6.5000000000,54.5000000000,0.0882248505,0.5675896042,0.3441855453
-6.5000000000,55.5000000000,0.0783280281,0.5670976275,0.3545743445
-6.5000000000,56.5000000000,0.0732547060,0.5559105787,0.3708347153
-6.5000000000,57.5000000000,0.0852728998,0.4774499627,0.4372771375
-6.5000000000,58.5000000000,0.0892674056,0.4222878205,0.4884447739
-6.5000000000,61.5000000000,0.1095598963,0.3345480020,0.5558921017
-6.5000000000,62.5000000000,0.1164079258,0.3254225523,0.5581695219
-5.5000000000,35.5000000000,0.2626124081,0.1732340496,0.5641535423
-5.5000000000,36.5000000000,0.2448366668,0.1941749765,0.5609883567
-5.5000000000,37.5000000000,0.2221737375,0.2150892449,0.5627370176
-5.5000000000,38.5000000000,0.2406432133,0.2070366132,0.5523201735
-5.5000000000,39.5000000000,0.2143894738,0.2338796866,0.5517308396
-5.5000000000,40.5000000000,0.2623647732,0.2041196790,0.5335155478
-5.5000000000,41.5000000000,0.2041049265,0.2646408094,0.5312542642
-5.5000000000,42.5000000000,0.2045629062,0.2707927868,0.5246443070
-5.5000000000,43.5000000000,0.1221679326,0.3666111991,0.5112208683
-5.5000000000,50.5000000000,0.0712802810,0.4952528314,0.4334668876
-5.5000000000,51.5000000000,0.0752351555,0.5078307941,0.4169340505
-5.5000000000,54.5000000000,0.0728367519,0.5669349471,0.3602283011
-5.5000000000,55.5000000000,0.0698236471,0.5698684821,0.3603078709
-5.5000000000,56.5000000000,0.0806882093,0.5265004614,0.3928113294
-5.5000000000,57.5000000000,0.0973997078,0.4457763328,0.4568239593
-5.5000000000,58.5000000000,0.0859192181,0.4333027783,0.4807780036
-4.5000000000,35.5000000000,0.2750718565,0.1596793634,0.5652487802
-4.5000000000,36.5000000000,0.2637735789,0.1751078382,0.5611185829
-4.5000000000,37.5000000000,0.2846573937,0.1647570748,0.5505855315
-4.5000000000,38.5000000000,0.2815181918,0.1738007532,0.5446810549
-4.5000000000,39.5000000000,0.2640950450,0.1949049518,0.5410000032
-4.5000000000,40.5000000000,0.2774582086,0.1933415782,0.5292002132
-4.5000000000,41.5000000000,0.2293147038,0.2423714241,0.5283138721
-4.5000000000,42.5000000000,0.2161448620,0.2632623356,0.5205928024
-4.5000000000,43.5000000000,0.1218613240,0.3639867147,0.5141519613
-4.5000000000,47.5000000000,0.0582061237,0.4489037391,0.4928901372
-4.5000000000,48.5000000000,0.0571993476,0.4690578464,0.4737428060
-4.5000000000,50.5000000000,0.0642596981,0.4735085699,0.4622317320
-4.5000000000,51.5000000000,0.0662334878,0.4817960603,0.4519704520
-4.5000000000,52.5000000000,0.0685697505,0.5023657985,0.4290644510
-4.5000000000,53.5000000000,0.0671620101,0.5254905302,0.4073474597
-4.5000000000,54.5000000000,0.0609205908,0.5675688405,0.3715105687
-4.5000000000,55.5000000000,0.0702741958,0.5445869469,0.3851388574
-4.5000000000,56.5000000000,0.0949768424,0.4821647877,0.4228583699
-4.5000000000,57.5000000000,0.1015166915,0.4229685900,0.4755147184
-4.5000000000,58.5000000000,0.0952827445,0.3895297214,0.5151875340
-3.5000000000,35.5000000000,0.3051065355,0.1358310061,0.5590624585
-3.5000000000,36.5000000000,0.3081272607,0.1425060723,0.5493666671
-3.5000000000,37.5000000000,0.4030625409,0.1002712433,0.4966662159
-3.5000000000,38.5000000000,0.3212194506,0.1439143004,0.5348662489
-3.5000000000,39.5000000000,0.2934388382,0.1703496338,0.5362115280
-3.5000000000,40.5000000000,0.2796242054,0.1929262671,0.5274495275
-3.5000000000,41.5000000000,0.2842279292,0.2042947272,0.5114773436
-3.5000000000,42.5000000000,0.2227758611,0.2667758039,0.5104483350
-3.5000000000,43.5000000000,0.1116304615,0.3824939727,0.5058755658
-3.5000000000,47.5000000000,0.0570637468,0.4243755264,0.5185607268
-3.5000000000,48.5000000000,0.0563910722,0.4526118359,0.4909970919
-3.5000000000,50.5000000000,0.0576449111,0.4759342276,0.4664208613
-3.5000000000,51.5000000000,0.0639462499,0.4716775530,0.4643761971
-3.5000000000,52.5000000000,0.0732602210,0.4668652520,0.4598745270
-3.5000000000,53.5000000000,0.0614107252,0.5110195194,0.4275697553
-3.5000000000,54.5000000000,0.0616608465,0.5327959684,0.4055431850
-3.5000000000,55.5000000000,0.0692070019,0.5345392993,0.3962536987
-3.5000000000,56.5000000000,0.0784775483,0.5130021206,0.4085203311
-3.5000000000,57.5000000000,0.0925679097,0.4358055931,0.4716264972
-3.5000000000,58.5000000000,0.0904109276,0.3852010693,0.5243880031
