Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0848845116,0.6266324436,0.2884830448
-10.5000000000,52.5000000000,0.0860411791,0.6169693881,0.2969894328
-10.5000000000,53.5000000000,0.0833018625,0.5807351567,0.3359629808
-10.5000000000,54.5000000000,0.0947751207,0.5174582610,0.3877666182
-9.5000000000,38.5000000000,0.1334234518,0.3298245688,0.5367519794
-9.5000000000,39.5000000000,0.1263033783,0.3572834608,0.5164131609
-9.5000000000,42.5000000000,0.1029993843,0.4623357746,0.4346648411
-9.5000000000,43.5000000000,0.0953040679,0.4953641881,0.4093317440
-9.5000000000,51.5000000000,0.0847509659,0.6143033279,0.3009457062
-9.5000000000,52.5000000000,0.0880567263,0.6042674552,0.3076758186
-9.5000000000,53.5000000000,0.0885517454,0.5694235237,0.3420247308
-9.5000000000,54.5000000000,0.0920569304,0.5157598438,0.3921832258
-8.5000000000,37.5000000000,0.1604526958,0.2844820463,0.5550652579
-8.5000000000,38.5000000000,0.1533574162,0.3096550540,0.5369875297
-8.5000000000,39.5000000000,0.1477749363,0.3294399287,0.5227851350
-8.5000000000,40.5000000000,0.1411379887,0.3593533076,0.4995087037
-8.5000000000,41.5000000000,0.1383692080,0.3896501265,0.4719806655
-8.5000000000,42.5000000000,0.1357670809,0.4174601676,0.4467727515
-8.5000000000,43.5000000000,0.1076645087,0.4842161686,0.4081193227
-8.5000000000,51.5000000000,0.0739337858,0.6131427993,0.3129234149
-8.5000000000,52.5000000000,0.0812779850,0.5941771438,0.3245448712
-8.5000000000,53.5000000000,0.0822259197,0.5719928917,0.3457811886
-8.5000000000,54.5000000000,0.0887562567,0.5226907593,0.3885529840
-8.5000000000,55.5000000000,0.0812650360,0.4821494289,0.4365855352
-7.5000000000,37.5000000000,0.1797980667,0.2669178263,0.5532841069
-7.5000000000,38.5000000000,0.1811304555,0.2801883390,0.5386812054
-7.5000000000,39.5000000000,0.1796453178,0.2985311541,0.5218235282
-7.5000000000,40.5000000000,0.2022415502,0.2912618120,0.5064966378
-7.5000000000,41.5000000000,0.1901578917,0.3331965991,0.4766455091
-7.5000000000,42.5000000000,0.1870517559,0.3622288235,0.4507194206
-7.5000000000,43.5000000000,0.1298805919,0.4582997143,0.4118196938
-7.5000000000,51.5000000000,0.0574704971,0.6145668444,0.3279626584
-7.5000000000,52.5000000000,0.0735217741,0.5928919039,0.3335863219
-7.5000000000,53.5000000000,0.0761577529,0.5780504812,0.3457917660
-7.5000000000,54.5000000000,0.0849970090,0.5342914757,0.3807115153
-7.5000000000,55.5000000000,0.0790420448,0.4979179804,0.4230399748
-7.5000000000,57.5000000000,0.0759788255,0.3635896095,0.5604315650
-7.5000000000,58.5000000000,0.0799736156,0.3145471279,0.6054792564
-7.5000000000,62.5000000000,0.0966879623,0.2294226517,0.6738893860
-6.5000000000,35.5000000000,0.2072440981,0.2349322877,0.5578236142
-6.5000000000,36.5000000000,0.1964925369,0.2489932707,0.5545141923
-6.5000000000,37.5000000000,0.2118503233,0.2430951447,0.5450545320
-6.5000000000,38.5000000000,0.2278829693,0.2427852441,0.5293317865
-6.5000000000,39.5000000000,0.2074507077,0.2824040409,0.5101452514
-6.5000000000,40.5000000000,0.2367645743,0.2779866920,0.4852487337
-6.5000000000,41.5000000000,0.2231185979,0.3160933147,0.4607880874
-6.5000000000,42.5000000000,0.2621381889,0.2999009843,0.4379608268
-6.5000000000,43.5000000000,0.1444674303,0.4497013962,0.4058311735
-6.5000000000,52.5000000000,0.0642785386,0.5948138644,0.3409075970
-6.5000000000,53.5000000000,0.0672850683,0.5823652150,0.3503497167
-6.5000000000,54.5000000000,0.0749242047,0.5502970816,0.3747787136
-6.5000000000,55.5000000000,0.0713298353,0.5147328310,0.4139373337
-6.5000000000,56.5000000000,0.0699219310,0.4511973393,0.4788807297
-6.5000000000,57.5000000000,0.0765870877,0.3699035312,0.5535093811
-6.5000000000,58.5000000000,0.0777254882,0.3135290617,0.6087454501
