Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0735607999,0.4661588971,0.4602803030
-10.5000000000,52.5000000000,0.0592886818,0.4131901990,0.5275211192
-10.5000000000,53.5000000000,0.0489543395,0.3828538805,0.5681917800
-10.5000000000,54.5000000000,0.0634543146,0.3292679700,0.6072777153
-9.5000000000,38.5000000000,0.0917911348,0.2957951422,0.6124137230
-9.5000000000,39.5000000000,0.0903355460,0.3122439946,0.5974204593
-9.5000000000,42.5000000000,0.0845109537,0.3896425925,0.5258464539
-9.5000000000,43.5000000000,0.0802972057,0.4178891297,0.5018136646
-9.5000000000,51.5000000000,0.0756702857,0.4791178243,0.4452118899
-9.5000000000,52.5000000000,0.0657219909,0.4333089183,0.5009690908
-9.5000000000,53.5000000000,0.0591706108,0.3905352322,0.5502941570
-9.5000000000,54.5000000000,0.0634755819,0.3437145424,0.5928098757
-8.5000000000,37.5000000000,0.1075094742,0.2585428612,0.6339476646
-8.5000000000,38.5000000000,0.1084057277,0.2742907088,0.6173035635
-8.5000000000,39.5000000000,0.1037145790,0.2857195724,0.6105658486
-8.5000000000,40.5000000000,0.1045037120,0.3022687375,0.5932275506
-8.5000000000,41.5000000000,0.1065732379,0.3218463078,0.5715804543
-8.5000000000,42.5000000000,0.1080673126,0.3438962278,0.5480364596
-8.5000000000,43.5000000000,0.0902684468,0.4014399950,0.5082915582
-8.5000000000,51.5000000000,0.0634057616,0.4808663857,0.4557278527
-8.5000000000,52.5000000000,0.0605807072,0.4319287018,0.5074905910
-8.5000000000,53.5000000000,0.0582822414,0.4097954296,0.5319223290
-8.5000000000,54.5000000000,0.0645175391,0.3645847368,0.5708977242
-8.5000000000,55.5000000000,0.0555585796,0.3337633615,0.6106780589
-7.5000000000,37.5000000000,0.1189994445,0.2448537054,0.6361468501
-7.5000000000,38.5000000000,0.1227281144,0.2495152062,0.6277566794
-7.5000000000,39.5000000000,0.1261750870,0.2564348813,0.6173900317
-7.5000000000,40.5000000000,0.1432122539,0.2428435682,0.6139441779
-7.5000000000,41.5000000000,0.1424533040,0.2724453577,0.5851013383
-7.5000000000,42.5000000000,0.1458356128,0.2914458602,0.5627185269
-7.5000000000,43.5000000000,0.1066450485,0.3750554312,0.5182995202
-7.5000000000,51.5000000000,0.0402585782,0.4965758774,0.4631655444
-7.5000000000,52.5000000000,0.0565574904,0.4486559516,0.4947865580
-7.5000000000,53.5000000000,0.0574152185,0.4333932313,0.5091915502
-7.5000000000,54.5000000000,0.0657344890,0.3913419613,0.5429235496
-7.5000000000,55.5000000000,0.0611954527,0.3583007901,0.5805037572
-7.5000000000,57.5000000000,0.0524812598,0.2388828724,0.7086358678
-7.5000000000,58.5000000000,0.0562271796,0.1988361006,0.7449367198
-7.5000000000,62.5000000000,0.0730548683,0.1485359479,0.7784091838
-6.5000000000,35.5000000000,0.1544488500,0.2206457884,0.6249053616
-6.5000000000,36.5000000000,0.1355230368,0.2339862104,0.6304907528
-6.5000000000,37.5000000000,0.1458155289,0.2229408499,0.6312436212
-6.5000000000,38.5000000000,0.1586079158,0.2150369256,0.6263551586
-6.5000000000,39.5000000000,0.1463285082,0.2419562168,0.6117152750
-6.5000000000,40.5000000000,0.1655370572,0.2315874472,0.6028754955
-6.5000000000,41.5000000000,0.1632331812,0.2590528041,0.5777140147
-6.5000000000,42.5000000000,0.2024053294,0.2376686008,0.5599260699
-6.5000000000,43.5000000000,0.1164696738,0.3682969543,0.5152333719
-6.5000000000,52.5000000000,0.0515415589,0.4611397753,0.4873186658
-6.5000000000,53.5000000000,0.0509374891,0.4519342012,0.4971283097
