Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0838144050,0.6310757123,0.2851098827
-10.5000000000,52.5000000000,0.0823953570,0.6482353791,0.2693692639
-10.5000000000,53.5000000000,0.0812858104,0.6437994469,0.2749147427
-10.5000000000,54.5000000000,0.0966694097,0.5642938674,0.3390367229
-9.5000000000,38.5000000000,0.1066469534,0.3375517682,0.5558012784
-9.5000000000,39.5000000000,0.1011258881,0.3544261122,0.5444479996
-9.5000000000,42.5000000000,0.0853955116,0.4229614047,0.4916430837
-9.5000000000,43.5000000000,0.0806660252,0.4479456055,0.4713883693
-9.5000000000,51.5000000000,0.0872977086,0.6185530022,0.2941492892
-9.5000000000,52.5000000000,0.0897327295,0.6254563374,0.2848109331
-9.5000000000,53.5000000000,0.0902320275,0.6148428860,0.2949250865
-9.5000000000,54.5000000000,0.0962627958,0.5642279543,0.3395092499
-8.5000000000,37.5000000000,0.1271163414,0.2923646053,0.5805190533
-8.5000000000,38.5000000000,0.1203246701,0.3070598188,0.5726155111
-8.5000000000,39.5000000000,0.1161316967,0.3265320384,0.5573362648
-8.5000000000,40.5000000000,0.1102906142,0.3447902975,0.5449190883
-8.5000000000,41.5000000000,0.1076362866,0.3612479665,0.5311157469
-8.5000000000,42.5000000000,0.1060957527,0.3790189469,0.5148853003
-8.5000000000,43.5000000000,0.0882947660,0.4242133778,0.4874918562
-8.5000000000,51.5000000000,0.0802872707,0.6224229378,0.2972897915
-8.5000000000,52.5000000000,0.0875929990,0.6226246209,0.2897823801
-8.5000000000,53.5000000000,0.0883891433,0.6112599444,0.3003509123
-8.5000000000,54.5000000000,0.0939990464,0.5702295087,0.3357714449
-8.5000000000,55.5000000000,0.0878232440,0.5554214735,0.3567552825
-7.5000000000,37.5000000000,0.1407550127,0.2697532335,0.5894917537
-7.5000000000,38.5000000000,0.1405053666,0.2760795794,0.5834150540
-7.5000000000,39.5000000000,0.1382035179,0.2864325745,0.5753639076
-7.5000000000,40.5000000000,0.1514811054,0.2838095655,0.5647093292
-7.5000000000,41.5000000000,0.1413761290,0.3072491774,0.5513746936
-7.5000000000,42.5000000000,0.1385722620,0.3243412442,0.5370864938
-7.5000000000,43.5000000000,0.1028094945,0.3894583676,0.5077321379
-7.5000000000,51.5000000000,0.0649477945,0.6564683541,0.2785838514
-7.5000000000,52.5000000000,0.0827832960,0.6185997697,0.2986169344
-7.5000000000,53.5000000000,0.0842537179,0.6110129921,0.3047332900
-7.5000000000,54.5000000000,0.0896412644,0.5763152673,0.3340434682
-7.5000000000,55.5000000000,0.0851089818,0.5566950017,0.3581960166
-7.5000000000,57.5000000000,0.0910479304,0.4645650365,0.4443870331
-7.5000000000,58.5000000000,0.1023088485,0.3942550369,0.5034361146
-7.5000000000,62.5000000000,0.1341339009,0.2839027207,0.5819633784
-6.5000000000,35.5000000000,0.1573815905,0.2235128590,0.6191055505
-6.5000000000,36.5000000000,0.1527685190,0.2405361529,0.6066953281
-6.5000000000,37.5000000000,0.1637318472,0.2350888543,0.6011792985
-6.5000000000,38.5000000000,0.1738696980,0.2318858380,0.5942444640
-6.5000000000,39.5000000000,0.1574675006,0.2568431224,0.5856893769
-6.5000000000,40.5000000000,0.1736186124,0.2501599996,0.5762213880
-6.5000000000,41.5000000000,0.1630019764,0.2759160861,0.5610819375
-6.5000000000,42.5000000000,0.1859223361,0.2620929666,0.5519846973
-6.5000000000,43.5000000000,0.1113992448,0.3675294261,0.5210713292
-6.5000000000,52.5000000000,0.0726681558,0.6182398387,0.3090920055
-6.5000000000,53.5000000000,0.0723151027,0.6303241435,0.2973607538
-6.5000000000,54.5000000000,0.0780102185,0.5972912854,0.3246984961
-6.5000000000,55.5000000000,0.0745567105,0.5889020326,0.3365412569
-6.5000000000,56.5000000000,0.0746685697,0.5648301053,0.3605013250
-6.5000000000,57.5000000000,0.0904425644,0.4713375699,0.4382198657
-6.5000000000,58.5000000000,0.1000696353,0.4035216398,0.4964087249
-6.5000000000,61.5000000000,0.1274732940,0.2932714210,0.5792552850
-6.5000000000,62.5000000000,0.1354531933,0.2813172849,0.5832295218
-5.5000000000,35.5000000000,0.2058703189,0.1755635315,0.6185661496
